TimeOfDay;DayOfYear;BaseTemperature;BaseHumidity;ActualTemperature;ActualHumidity;PrecipChange;PrecipIntensity;PrecipTemperature;PrecipDuration;CloudCover;Fogginess;WindSpeed;WindDirection;Raining;Thundering;Snowing;GRPT;GWPT;GAPT;CRPT;CWPT;CAPT;GRTPT;GWTPT;CRTPT;CWTPT;TPBT;TPT;TPET;AvgAge;AvgAgeNonzero;MaxAge;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000824;0.000346;0.053736;0.0002359999;0.062472;0.02530401;0.048506;0.007;1.014493;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000828;0.000348;0.053736;0.0002359999;0.06245999;0.02530401;0.048492;0.007;1.014493;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008339999;0.000366;0.080492;0.0002979999;0.08913198;0.03834401;0.063358;0.008;1.012658;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000826;0.000366;0.080492;0.0002979999;0.08914999;0.03834401;0.063338;0.008;1.012658;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000822;0.00037;0.08049001;0.0002979999;0.08916599;0.03834201;0.06329001;0.008;1.012658;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008179999;0.000366;0.080488;0.0002959999;0.08899198;0.03834201;0.06326801;0.008;1.012658;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008219999;0.000352;0.053968;0.0002319999;0.06240399;0.02555;0.047984;0.008;1.012658;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008299999;0.000346;0.053964;0.0002319999;0.062414;0.02555001;0.04795201;0.008;1.012658;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008359999;0.00034;0.053964;0.0002319999;0.06241599;0.02555201;0.04798401;0.008;1.012658;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008399999;0.000342;0.05396199;0.0002319999;0.06237199;0.02555201;0.04811;0.008;1.012658;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008439999;0.0003380001;0.05395999;0.0002339999;0.06235798;0.02555201;0.04825201;0.008;1.012658;2;
